cache_size,associativity,access_time[ns]
4kB,1,1.09614
4kB,2,1.16079
4kB,4,1.159
4kB,8,1.24139
8kB,1,1.09423
8kB,2,1.17962
8kB,4,1.24238
8kB,8,1.32535
8kB,16,1.34611
16kB,1,1.18257
16kB,2,1.18269
16kB,4,1.3755
16kB,8,1.4566
16kB,16,1.4301
16kB,32,1.48129
32kB,1,1.26867
32kB,2,1.2689
32kB,4,1.26907
32kB,8,1.47944
32kB,16,1.56138
32kB,32,1.56544
64kB,1,1.63961
64kB,2,1.64004
64kB,4,1.64166
64kB,8,1.69967
64kB,16,1.56806
64kB,32,1.6969
128kB,1,1.82145
128kB,2,1.82155
128kB,4,1.82313
128kB,8,1.82933
128kB,16,1.78839
128kB,32,1.92232
256kB,1,1.91286
256kB,2,1.91445
256kB,4,1.91442
256kB,8,1.9206
256kB,16,1.93748
256kB,32,1.92442
1024kB,1,2.02008
1024kB,2,2.01887
1024kB,4,2.01908
1024kB,8,2.01968
1024kB,16,2.03792
1024kB,32,2.41135
1024kB,64,2.71446
1024kB,128,2.45889
2048kB,1,2.52747
2048kB,2,2.52768
2048kB,4,2.52788
2048kB,8,2.52845
2048kB,16,2.53549
2048kB,32,2.58486
2048kB,64,2.94906
2048kB,128,3.84588
