
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.053398                       # Number of seconds simulated
sim_ticks                                 53398381518                       # Number of ticks simulated
final_tick                                53398381518                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 282072                       # Simulator instruction rate (inst/s)
host_op_rate                                   282072                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               32294049                       # Simulator tick rate (ticks/s)
host_mem_usage                                 693520                       # Number of bytes of host memory used
host_seconds                                  1653.51                       # Real time elapsed on the host
sim_insts                                   466408091                       # Number of instructions simulated
sim_ops                                     466408091                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.bytes_read::cpu00.inst        138752                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu00.data       5756416                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu01.inst         12672                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu01.data       1093888                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu02.inst          1024                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu02.data       1056832                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu03.inst           832                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu03.data       1137984                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu04.inst            64                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu04.data       1102592                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu05.inst           448                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu05.data       1114944                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu06.inst           640                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu06.data       1083584                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu07.inst           384                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu07.data       1172288                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu08.inst           192                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu08.data       1146368                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu09.inst           448                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu09.data       1146112                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu10.inst           192                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu10.data       1100416                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu11.inst           640                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu11.data       1184384                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu12.inst           192                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu12.data       1165056                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu13.inst           192                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu13.data       1163520                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu14.inst           192                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu14.data       1136512                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu15.inst            64                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu15.data       1223680                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total           22941504                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu00.inst       138752                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu01.inst        12672                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu02.inst         1024                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu03.inst          832                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu04.inst           64                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu05.inst          448                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu06.inst          640                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu07.inst          384                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu08.inst          192                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu09.inst          448                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu10.inst          192                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu11.inst          640                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu12.inst          192                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu13.inst          192                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu14.inst          192                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu15.inst           64                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total        156928                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks     17098944                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total        17098944                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu00.inst           2168                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu00.data          89944                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu01.inst            198                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu01.data          17092                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu02.inst             16                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu02.data          16513                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu03.inst             13                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu03.data          17781                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu04.inst              1                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu04.data          17228                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu05.inst              7                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu05.data          17421                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu06.inst             10                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu06.data          16931                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu07.inst              6                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu07.data          18317                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu08.inst              3                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu08.data          17912                       # Number of read requests responded to by this memory
